,city,temp,humidity,clouds,Wind Speed,lat,lng
334,mocoa,60.6,88,20,1.34,1.15,-76.65
335,tome,53.6,100,20,3.36,38.69,141.2
336,san luis,57.72,82,0,5.03,-33.3,-66.34
337,hofn,40.98,100,0,7.49,64.25,-15.21
338,mizdah,56.82,90,0,8.61,31.45,12.98
339,zeya,49.26,65,0,1.9,53.74,127.27
340,araripina,78.6,39,48,9.4,-7.58,-40.5
341,karema,76.26,34,20,6.04,-6.82,30.44
342,vardo,55.38,80,90,5.82,39.62,-77.74
343,northeim,48.2,70,0,1.12,51.71,10.0
344,sterling,56.71,100,90,5.82,39.0,-77.4
345,cherskiy,45.12,68,68,7.61,68.75,161.3
346,pacific grove,66.15,80,20,8.05,36.62,-121.92
347,ambunti,80.58,86,36,2.46,-4.22,142.82
348,forbes,64.29,72,8,9.95,-33.38,148.01
349,polunochnoye,36.21,77,32,6.93,60.87,60.43
350,mandalgovi,32.79,82,44,6.04,45.76,106.27
351,lincoln,52.54,93,75,14.99,53.23,-0.54
352,wahiawa,82.31,100,90,8.05,21.5,-158.02
353,nelson bay,59.0,72,0,8.05,-32.72,152.14
354,balakhta,45.39,92,20,2.46,55.38,91.62
355,mackenzie,55.4,43,90,6.93,55.34,-123.09
356,ipixuna,82.4,65,0,6.93,-1.76,-48.8
357,deputatskiy,27.93,86,88,4.36,69.3,139.9
358,grand bank,57.2,100,75,2.24,47.1,-55.77
359,wattegama,67.89,96,8,2.46,7.35,80.68
360,camacha,72.63,78,75,18.34,33.08,-16.33
361,broome,57.15,82,12,9.17,52.47,1.45
362,marystown,57.18,92,100,4.7,47.17,-55.16
363,turtas,61.95,51,68,10.18,58.94,69.13
364,san jose,71.5,99,36,0.69,15.79,120.99
365,villiers,74.91,23,92,9.06,-27.03,28.6
366,bitkine,72.66,81,0,2.01,11.98,18.21
367,stromness,60.6,72,90,5.82,42.87,-79.55
368,hay river,37.4,51,75,12.75,60.82,-115.79
369,myitkyina,74.01,97,76,2.57,25.38,97.4
370,los andes,61.68,51,75,9.17,-32.83,-70.6
371,lianran,55.4,100,90,15.66,24.92,102.47
372,mangit,62.6,45,0,6.93,40.6,70.96
373,wanaka,47.1,59,0,2.91,-44.7,169.14
374,belogorsk,36.57,100,0,1.57,45.06,34.59
375,miyako,64.53,82,20,6.93,33.63,130.94
376,teahupoo,82.4,54,40,9.17,-17.83,-149.27
377,makat,43.32,80,0,8.05,47.65,53.35
378,nata,70.81,83,20,5.82,34.78,32.57
379,touros,77.79,86,88,14.09,-5.2,-35.46
380,bratsk,39.2,100,88,6.71,56.15,101.63
381,longyearbyen,24.8,79,40,17.22,78.22,15.63
382,plettenberg bay,60.69,100,0,5.7,-34.05,23.37
383,tuatapere,50.25,95,20,11.97,-46.13,167.69
384,camargo,84.63,26,8,4.36,27.69,-105.17
385,goiatuba,82.11,52,68,2.68,-18.02,-49.36
386,zamora,60.8,72,32,3.36,41.51,-5.74
387,petatlan,91.4,59,40,13.87,17.52,-101.27
388,redlands,98.02,18,1,13.87,34.06,-117.19
389,ginda,48.9,80,0,2.35,30.69,78.49
390,camocim,79.59,68,0,17.45,-2.9,-40.84
391,cidreira,65.82,98,80,8.39,-30.17,-50.22
392,nanfeng,68.52,84,88,4.14,27.22,116.52
393,walvis bay,51.8,87,0,2.24,-22.95,14.51
394,udachnyy,29.91,87,24,5.37,66.42,112.4
395,oksbol,51.82,87,24,12.75,55.63,8.29
396,pokhara,57.36,65,8,3.13,28.21,83.99
397,kavaratti,82.38,100,80,9.4,10.57,72.64
398,marsa matruh,77.0,69,32,17.22,31.35,27.25
399,kirensk,38.46,95,36,4.47,57.78,108.12
